우편번호|시도|시도영문|시군구|시군구영문|읍면|읍면영문|도로명코드|도로명|도로명영문|지하여부|건물번호본번|건물번호부번|건물관리번호|다량배달처명|시군구용건물명|법정동코드|법정동명|리명|행정동명|산여부|지번본번|읍면동일련번호|지번부번|구우편번호|우편번호일련번호
34167|대전광역시|Daejeon|유성구|Yuseong-gu|||302003167083|대학로|Daehak-ro|0|79|0|3020012200104800001020645|||3020012200|궁동||온천2동|0|480|02|1||
34137|대전광역시|Daejeon|유성구|Yuseong-gu|||302003167083|대학로|Daehak-ro|0|141|0|3020012200104230003011848|||3020012200|궁동||온천2동|0|423|02|3||
34138|대전광역시|Daejeon|유성구|Yuseong-gu|||302003167083|대학로|Daehak-ro|0|167|0|3020012200104320003012334|||3020012200|궁동||온천2동|0|432|02|3||
34138|대전광역시|Daejeon|유성구|Yuseong-gu|||302003167083|대학로|Daehak-ro|0|177|0|3020012200104320010010884|||3020012200|궁동||온천2동|0|432|02|10||
34167|대전광역시|Daejeon|유성구|Yuseong-gu|||302003167083|대학로|Daehak-ro|0|77|0|3020012200104800006010878|||3020012200|궁동||온천2동|0|480|02|6||
34167|대전광역시|Daejeon|유성구|Yuseong-gu|||302003167083|대학로|Daehak-ro|0|87|0|3020012200104790008010900|||3020012200|궁동||온천2동|0|479|02|8||
34138|대전광역시|Daejeon|유성구|Yuseong-gu|||302003167083|대학로|Daehak-ro|0|155|0|3020012200104240004011947|||3020012200|궁동||온천2동|0|424|02|4||
34137|대전광역시|Daejeon|유성구|Yuseong-gu|||302003167083|대학로|Daehak-ro|0|133|0|3020012200104180006010353|||3020012200|궁동||온천2동|0|418|02|6||
34138|대전광역시|Daejeon|유성구|Yuseong-gu|||302003167083|대학로|Daehak-ro|0|169|0|3020012200104320004012335|||3020012200|궁동||온천2동|0|432|02|4||
34137|대전광역시|Daejeon|유성구|Yuseong-gu|||302003167083|대학로|Daehak-ro|0|143|1|3020012200104230005011491|||3020012200|궁동||온천2동|0|423|02|5||
34138|대전광역시|Daejeon|유성구|Yuseong-gu|||302003167083|대학로|Daehak-ro|0|151|0|3020012200104240001010761|||3020012200|궁동||온천2동|0|424|02|1||
34183|대전광역시|Daejeon|유성구|Yuseong-gu|||302003167083|대학로|Daehak-ro|0|82|0|3020012200104820007000003|||3020012200|궁동||온천2동|0|482|02|7||
34137|대전광역시|Daejeon|유성구|Yuseong-gu|||302003167083|대학로|Daehak-ro|0|137|0|3020012200104230001011818|||3020012200|궁동||온천2동|0|423|02|1||
34137|대전광역시|Daejeon|유성구|Yuseong-gu|||302004301130|대학로137번길|Daehak-ro 137beon-gil|0|10|0|3020012200104200008010455|||3020012200|궁동||온천2동|0|420|01|8||
34137|대전광역시|Daejeon|유성구|Yuseong-gu|||302004301130|대학로137번길|Daehak-ro 137beon-gil|0|48|0|3020012200103970012000001|||3020012200|궁동||온천2동|0|397|01|12||
34137|대전광역시|Daejeon|유성구|Yuseong-gu|||302004301130|대학로137번길|Daehak-ro 137beon-gil|0|19|0|3020012200104190003000001|||3020012200|궁동||온천2동|0|419|01|3||
34137|대전광역시|Daejeon|유성구|Yuseong-gu|||302004301130|대학로137번길|Daehak-ro 137beon-gil|0|11|0|3020012200104190006011708|||3020012200|궁동||온천2동|0|419|01|6||
34137|대전광역시|Daejeon|유성구|Yuseong-gu|||302004301130|대학로137번길|Daehak-ro 137beon-gil|0|44|0|3020012200103970010000002|||3020012200|궁동||온천2동|0|397|01|10||
34137|대전광역시|Daejeon|유성구|Yuseong-gu|||302004301130|대학로137번길|Daehak-ro 137beon-gil|0|21|0|3020012200104190002009186|||3020012200|궁동||온천2동|0|419|01|2||
34137|대전광역시|Daejeon|유성구|Yuseong-gu|||302004301130|대학로137번길|Daehak-ro 137beon-gil|0|28|0|3020012200104120014011327|||3020012200|궁동||온천2동|0|412|01|14||
34137|대전광역시|Daejeon|유성구|Yuseong-gu|||302004301130|대학로137번길|Daehak-ro 137beon-gil|0|18|0|3020012200104120010011648|||3020012200|궁동||온천2동|0|412|01|10||
34137|대전광역시|Daejeon|유성구|Yuseong-gu|||302004301130|대학로137번길|Daehak-ro 137beon-gil|0|22|0|3020012200104120012011478|||3020012200|궁동||온천2동|0|412|01|12||
34137|대전광역시|Daejeon|유성구|Yuseong-gu|||302004301130|대학로137번길|Daehak-ro 137beon-gil|0|26|0|3020012200104120013011439|||3020012200|궁동||온천2동|0|412|01|13||
34137|대전광역시|Daejeon|유성구|Yuseong-gu|||302004301130|대학로137번길|Daehak-ro 137beon-gil|0|9|0|3020012200104190007010864|||3020012200|궁동||온천2동|0|419|01|7||
34137|대전광역시|Daejeon|유성구|Yuseong-gu|||302004301130|대학로137번길|Daehak-ro 137beon-gil|0|20|0|3020012200104120011011574|||3020012200|궁동||온천2동|0|412|01|11||
34138|대전광역시|Daejeon|유성구|Yuseong-gu|||302004301093|농대로17번길|Nongdae-ro 17beon-gil|0|22|0|3020012200104050019011435|||3020012200|궁동||온천2동|0|405|01|19||
34138|대전광역시|Daejeon|유성구|Yuseong-gu|||302004301093|농대로17번길|Nongdae-ro 17beon-gil|0|6|0|3020012200104050013011434|||3020012200|궁동||온천2동|0|405|01|13||
34138|대전광역시|Daejeon|유성구|Yuseong-gu|||302003167017|농대로|Nongdae-ro|0|17|0|3020012200104050011011458|||3020012200|궁동||온천2동|0|405|01|11||
34137|대전광역시|Daejeon|유성구|Yuseong-gu|||302004301060|궁동로10번길|Gungdong-ro 10beon-gil|0|15|0|3020012200104140011011457|||3020012200|궁동||온천2동|0|414|01|11||
34137|대전광역시|Daejeon|유성구|Yuseong-gu|||302004301060|궁동로10번길|Gungdong-ro 10beon-gil|0|13|0|3020012200104140012011441|||3020012200|궁동||온천2동|0|414|01|12||
34137|대전광역시|Daejeon|유성구|Yuseong-gu|||302004301060|궁동로10번길|Gungdong-ro 10beon-gil|0|23|0|3020012200104140009011459|||3020012200|궁동||온천2동|0|414|01|9||
34167|대전광역시|Daejeon|유성구|Yuseong-gu|||302004301142|대학로81번길|Daehak-ro 81beon-gil|0|32|19|3020012200104510005011419|||3020012200|궁동||온천2동|0|451|01|5||
34167|대전광역시|Daejeon|유성구|Yuseong-gu|||302004301142|대학로81번길|Daehak-ro 81beon-gil|0|32|23|3020012200104510003011317|||3020012200|궁동||온천2동|0|451|01|3||
34167|대전광역시|Daejeon|유성구|Yuseong-gu|||302004301142|대학로81번길|Daehak-ro 81beon-gil|0|32|31|3020012200104510001011237|||3020012200|궁동||온천2동|0|451|01|1||
34167|대전광역시|Daejeon|유성구|Yuseong-gu|||302004301142|대학로81번길|Daehak-ro 81beon-gil|0|32|11|3020012200104510007011470|||3020012200|궁동||온천2동|0|451|01|7||
34167|대전광역시|Daejeon|유성구|Yuseong-gu|||302004301142|대학로81번길|Daehak-ro 81beon-gil|0|28|0|3020012200104790002000001|||3020012200|궁동||온천2동|0|479|01|2||
34167|대전광역시|Daejeon|유성구|Yuseong-gu|||302004301142|대학로81번길|Daehak-ro 81beon-gil|0|22|0|3020012200104790005009256|||3020012200|궁동||온천2동|0|479|01|5||
34183|대전광역시|Daejeon|유성구|Yuseong-gu|||302004301141|대학로76번안길|Daehak-ro 76beonan-gil|0|62|0|3020012200104900011012188|||3020012200|궁동||온천2동|0|490|01|11||
34183|대전광역시|Daejeon|유성구|Yuseong-gu|||302004301141|대학로76번안길|Daehak-ro 76beonan-gil|0|44|0|3020012200104900008012312|||3020012200|궁동||온천2동|0|490|01|8||
34183|대전광역시|Daejeon|유성구|Yuseong-gu|||302004301141|대학로76번안길|Daehak-ro 76beonan-gil|0|23|0|3020012200104860002010480|||3020012200|궁동||온천2동|0|486|01|2||
34137|대전광역시|Daejeon|유성구|Yuseong-gu|||302004301132|대학로145번길|Daehak-ro 145beon-gil|0|19|0|3020012200104110009011011|||3020012200|궁동||온천2동|0|411|01|9||
34137|대전광역시|Daejeon|유성구|Yuseong-gu|||302004301132|대학로145번길|Daehak-ro 145beon-gil|0|2|0|3020012200104220008011839|||3020012200|궁동||온천2동|0|422|01|8||
34138|대전광역시|Daejeon|유성구|Yuseong-gu|||302004301092|농대로15번길|Nongdae-ro 15beon-gil|0|7|0|3020012200104290005011591|||3020012200|궁동||온천2동|0|429|01|5||
34138|대전광역시|Daejeon|유성구|Yuseong-gu|||302004301092|농대로15번길|Nongdae-ro 15beon-gil|0|13|0|3020012200104290003011091|||3020012200|궁동||온천2동|0|429|01|3||
34167|대전광역시|Daejeon|유성구|Yuseong-gu|||302003167083|대학로|Daehak-ro|0|85|0|3020012200104790007011736|||3020012200|궁동||온천2동|0|479|02|7||
34138|대전광역시|Daejeon|유성구|Yuseong-gu|||302003167083|대학로|Daehak-ro|0|171|1|3020012200104320006012340|||3020012200|궁동||온천2동|0|432|02|6||
34137|대전광역시|Daejeon|유성구|Yuseong-gu|||302003167083|대학로|Daehak-ro|0|131|0|3020012200104180005011140|||3020012200|궁동||온천2동|0|418|02|5||
